,LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,SalePrice,Alley_Grvl,LotShape_IR2,LandContour_Bnk,LotConfig_CulDSac,BldgType_TwnhsE,RoofStyle_Gable,RoofMatl_WdShngl,MasVnrType_BrkFace,ExterQual_TA,ExterCond_Fa,Foundation_PConc,BsmtExposure_Not_Avail,BsmtFinType2_Not_Avail,HeatingQC_Fa,CentralAir_N,Electrical_FuseF,KitchenQual_TA,Functional_Maj2,GarageFinish_RFn,GarageQual_Fa,PavedDrive_P,PoolQC_Not_Avail,Fence_Not_Avail,MiscFeature_Not_Avail,SaleType_New
0,65.0,8450,2003,2003,196.0,706,150,856,856,854,1710,1,2,1,3,1,8,0,2003.0,2,548,0,61,0,0,0,208500,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
1,80.0,9600,1976,1976,0.0,978,284,1262,1262,0,1262,0,2,0,3,1,6,1,1976.0,2,460,298,0,0,0,0,181500,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
2,68.0,11250,2001,2002,162.0,486,434,920,920,866,1786,1,2,1,3,1,6,1,2001.0,2,608,0,42,0,0,0,223500,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
3,60.0,9550,1915,1970,0.0,216,540,756,961,756,1717,1,1,0,3,1,7,1,1998.0,3,642,0,35,272,0,0,140000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
4,84.0,14260,2000,2000,350.0,655,490,1145,1145,1053,2198,1,2,1,4,1,9,1,2000.0,3,836,192,84,0,0,0,250000,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
5,85.0,14115,1993,1995,0.0,732,64,796,796,566,1362,1,1,1,1,1,5,0,1993.0,2,480,40,30,0,0,0,143000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,75.0,10084,2004,2005,186.0,1369,317,1686,1694,0,1694,1,2,0,3,1,7,1,2004.0,2,636,255,57,0,0,0,307000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
7,0.0,10382,1973,1973,240.0,859,216,1107,1107,983,2090,1,2,1,3,1,7,2,1973.0,2,484,235,204,228,0,0,200000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
8,51.0,6120,1931,1950,0.0,0,952,952,1022,752,1774,0,2,0,2,2,8,2,1931.0,2,468,90,0,205,0,0,129900,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0
9,50.0,7420,1939,1950,0.0,851,140,991,1077,0,1077,1,1,0,2,2,5,2,1939.0,1,205,0,4,0,0,0,118000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
10,70.0,11200,1965,1965,0.0,906,134,1040,1040,0,1040,1,1,0,3,1,5,0,1965.0,1,384,0,0,0,0,0,129500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
11,85.0,11924,2005,2006,286.0,998,177,1175,1182,1142,2324,1,3,0,4,1,11,2,2005.0,3,736,147,21,0,0,0,345000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
12,0.0,12968,1962,1962,0.0,737,175,912,912,0,912,1,1,0,2,1,4,0,1962.0,1,352,140,0,0,176,0,144000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
13,91.0,10652,2006,2007,306.0,0,1494,1494,1494,0,1494,0,2,0,3,1,7,1,2006.0,3,840,160,33,0,0,0,279500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1
14,0.0,10920,1960,1960,212.0,733,520,1253,1253,0,1253,1,1,1,2,1,5,1,1960.0,1,352,0,213,176,0,0,157000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
15,51.0,6120,1929,2001,0.0,0,832,832,854,0,854,0,1,0,2,1,5,0,1991.0,2,576,48,112,0,0,0,132000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
16,0.0,11241,1970,1970,180.0,578,426,1004,1004,0,1004,1,1,0,2,1,5,1,1970.0,2,480,0,0,0,0,0,149000,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
17,72.0,10791,1967,1967,0.0,0,0,0,1296,0,1296,0,2,0,2,2,6,0,1967.0,2,516,0,0,0,0,0,90000,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0
18,66.0,13695,2004,2004,0.0,646,468,1114,1114,0,1114,1,1,1,3,1,6,0,2004.0,2,576,0,102,0,0,0,159000,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
19,70.0,7560,1958,1965,0.0,504,525,1029,1339,0,1339,0,1,0,3,1,6,0,1958.0,1,294,0,0,0,0,0,139000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20,101.0,14215,2005,2006,380.0,0,1158,1158,1158,1218,2376,0,3,1,4,1,9,1,2005.0,3,853,240,154,0,0,0,325300,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1
21,57.0,7449,1930,1950,0.0,0,637,637,1108,0,1108,0,1,0,3,1,6,1,1930.0,1,280,0,0,205,0,0,139400,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
22,75.0,9742,2002,2002,281.0,0,1777,1777,1795,0,1795,0,2,0,3,1,7,1,2002.0,2,534,171,159,0,0,0,230000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
23,44.0,4224,1976,1976,0.0,840,200,1040,1060,0,1060,1,1,0,3,1,6,1,1976.0,2,572,100,110,0,0,0,129900,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
24,0.0,8246,1968,2001,0.0,188,204,1060,1060,0,1060,1,1,0,3,1,6,1,1968.0,1,270,406,90,0,0,0,154000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
25,110.0,14230,2007,2007,640.0,0,1566,1566,1600,0,1600,0,2,0,3,1,7,1,2007.0,3,890,0,56,0,0,0,256300,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
26,60.0,7200,1951,2000,0.0,234,180,900,900,0,900,0,1,0,3,1,5,0,2005.0,2,576,222,32,0,0,0,134800,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
27,98.0,11478,2007,2008,200.0,1218,486,1704,1704,0,1704,1,2,0,3,1,7,1,2008.0,3,772,0,50,0,0,0,306000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
28,47.0,16321,1957,1997,0.0,1277,207,1484,1600,0,1600,1,1,0,2,1,6,2,1957.0,1,319,288,258,0,0,0,207500,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
29,60.0,6324,1927,1950,0.0,0,520,520,520,0,520,0,1,0,1,1,4,0,1920.0,1,240,49,0,87,0,0,68500,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0
30,50.0,8500,1920,1950,0.0,0,649,649,649,668,1317,0,1,0,3,1,6,0,1920.0,1,250,0,54,172,0,0,40000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
31,0.0,8544,1966,2006,0.0,0,1228,1228,1228,0,1228,0,1,1,3,1,6,0,1966.0,1,271,0,65,0,0,0,149350,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32,85.0,11049,2007,2007,0.0,0,1234,1234,1234,0,1234,0,2,0,3,1,7,0,2007.0,2,484,0,30,0,0,0,179900,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
33,70.0,10552,1959,1959,0.0,1018,380,1398,1700,0,1700,0,1,1,4,1,6,1,1959.0,2,447,0,38,0,0,0,165500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
34,60.0,7313,2005,2005,246.0,1153,408,1561,1561,0,1561,1,2,0,2,1,6,1,2005.0,2,556,203,47,0,0,0,277500,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
35,108.0,13418,2004,2005,132.0,0,1117,1117,1132,1320,2452,0,3,1,4,1,9,1,2004.0,3,691,113,32,0,0,0,309000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
36,112.0,10859,1994,1995,0.0,0,1097,1097,1097,0,1097,0,1,1,3,1,6,0,1995.0,2,672,392,64,0,0,0,145000,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
37,74.0,8532,1954,1990,650.0,1213,84,1297,1297,0,1297,0,1,0,3,1,5,1,1954.0,2,498,0,0,0,0,0,153000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
38,68.0,7922,1953,2007,0.0,731,326,1057,1057,0,1057,1,1,0,3,1,5,0,1953.0,1,246,0,52,0,0,0,109000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
39,65.0,6040,1955,1955,0.0,0,0,0,1152,0,1152,0,2,0,2,2,6,0,0.0,0,0,0,0,0,0,0,82000,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
40,84.0,8658,1965,1965,101.0,643,445,1088,1324,0,1324,0,2,0,3,1,6,1,1965.0,2,440,0,138,0,0,0,160000,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
41,115.0,16905,1959,1959,0.0,967,383,1350,1328,0,1328,0,1,1,2,1,5,2,1959.0,1,308,0,104,0,0,0,170000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0
42,0.0,9180,1983,1983,0.0,747,0,840,884,0,884,1,1,0,2,1,5,0,1983.0,2,504,240,0,0,0,0,144000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
43,0.0,9200,1975,1980,0.0,280,167,938,938,0,938,1,1,0,3,1,5,0,1977.0,1,308,145,0,0,0,0,130250,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
