,GrLivArea,YearBuilt,GarageCars,TotalBsmtSF,RoofMatl_ClyTile,YearRemodAdd,Fireplaces,MSZoning_C (all),KitchenAbvGr,OverallCond_3,MSZoning_RM,BsmtFinType1_GLQ,BsmtQual_Ex,Condition2_PosN,Neighborhood_Crawfor,OverallCond_4,KitchenQual_Ex,SaleCondition_Abnorml,LotArea,MSSubClass_30,KitchenQual_Gd,OverallCond_7,OverallQual_8,Neighborhood_MeadowV,CentralAir_N,OverallQual_9,OverallQual_10,OverallQual_7,BsmtFullBath,OverallQual_6,Functional_Maj2,BldgType_Twnhs,OverallQual_1,ScreenPorch,SaleType_WD,Neighborhood_Edwards,Heating_Grav,WoodDeckSF,Exterior1st_BrkFace,OverallCond_6,OverallCond_8,OverallCond_9,Foundation_CBlock,BsmtExposure_Gd,Condition1_Artery,Functional_Mod,MSZoning_FV,Neighborhood_NridgHt,Neighborhood_StoneBr,BldgType_TwnhsE,LotConfig_CulDSac,GarageCond_Fa,Condition1_RRAe,Functional_Sev,BsmtFinType1_Unf,EnclosedPorch,PoolQC_Gd,HeatingQC_TA,HalfBath,Condition1_Feedr,BsmtCond_Ex,SalePrice
0,1710,2003,2,856,0,2003,0,0,1,0,0,1,0,0,0,0,0,0,8450,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.24769432
1,1262,1976,2,1262,0,1976,1,0,1,0,0,0,0,0,0,0,0,0,9600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,298,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.10901093
2,1786,2001,2,920,0,2002,1,0,1,0,0,1,0,0,0,0,0,0,11250,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.31716669
3,1717,1915,3,756,0,1970,1,0,1,0,0,0,0,0,1,0,0,1,9550,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,11.8493977
4,2198,2000,3,1145,0,2000,1,0,1,0,0,1,0,0,0,0,0,0,14260,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.4292162
5,1362,1993,2,796,0,1995,0,0,1,0,0,1,0,0,0,0,0,0,14115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.87059991
6,1694,2004,2,1686,0,2005,1,0,1,0,0,1,1,0,0,0,0,0,10084,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.63460303
7,2090,1973,2,1107,0,1973,2,0,1,0,0,0,0,0,0,0,0,0,10382,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,235,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,1,0,0,12.20607265
8,1774,1931,2,952,0,1950,2,0,2,0,1,0,0,0,0,0,0,1,6120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,205,0,0,0,0,0,11.7745202
9,1077,1939,1,991,0,1950,2,0,2,0,0,1,0,0,0,0,0,0,7420,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6784399
10,1040,1965,1,1040,0,1965,0,0,1,0,0,0,0,0,0,0,0,0,11200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77143616
11,2324,2005,3,1175,0,2006,2,0,1,0,0,1,1,0,0,0,1,0,11924,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7512997
12,912,1962,1,912,0,1962,0,0,1,0,0,0,0,0,0,0,0,0,12968,0,0,0,0,0,0,0,0,0,1,0,0,0,0,176,1,0,0,140,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.87756858
13,1494,2006,3,1494,0,2007,1,0,1,0,0,0,0,0,0,0,0,0,10652,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.54075757
14,1253,1960,1,1253,0,1960,1,0,1,0,0,0,0,0,0,0,0,0,10920,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,176,0,1,1,0,0,11.96400108
15,854,1929,2,832,0,2001,0,0,1,0,1,0,0,0,0,0,0,0,6120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.7905572
16,1004,1970,2,1004,0,1970,1,0,1,0,0,0,0,0,0,0,0,0,11241,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.91170158
